CONCEPT				POLARITY		INTENSITY
absolutely_vital		positive		0.252
absolutely_wonderful		positive		0.87
absolution			positive		0.909
absolutism			negative		-0.83
absolutist			negative		-0.73
absolutist_rule			positive		0.086
absolutive			negative		-0.75
absolve				positive		0.909
absolved			positive		0.786
absolvitory			positive		0.635
absorb				positive		0.709
absorb_carbon_dioxide		positive		0.107
absorb_heat			positive		0.038
absorb_information		positive		0.73
absorb_moisture			positive		0.799
absorb_oxygen			negative		-0.65
absorb_water			positive		0.813
absorbable_suture		negative		-0.63
absorbent			positive		0.074
absorbent_cotton		positive		0.104
absorbent_paper			negative		-0.02
absorbing			positive		0.692
absorbing_carbon_dioxide	positive		0.107
absorbs_moisture		negative		-0.65
absorption			positive		0.738
abstain_from			negative		-0.81
abstaining_from			negative		-0.87
abstemious			positive		0.744
abstemiousal			positive		0.69
abstemiousness			negative		-0.63
abstention			positive		0.332
absterge			positive		0.794
abstinance			negative		-0.73
abstinence			negative		-0.87
abstinence_education		negative		-0.87
abstinence_only			negative		-0.87
abstinent			negative		-0.77
abstract			positive		0.157
abstract_mathematical		negative		-0.94
abstract_think			positive		0.939
abstract_thought		positive		0.665
abstraction			positive		0.164
abstractionism			negative		-0.12
abstractly			positive		0.841
abstruse			positive		0.829
abstruseness			negative		-0.91
abstrusity			negative		-0.91
absurd				negative		-0.81
absurdism			positive		0.776
absurdist			positive		0.065
absurdist_comedy		positive		0.776
absurdist_humor			negative		-0.80
absurdity			negative		-0.72
absurdly			negative		-0.8
abugida				negative		-0.76
abundance			positive		0.104
abundant			positive		0.051
abundant_fruit			positive		0.792
abundant_wildlife		positive		0.802
abundantly			positive		0.792
abusable			negative		-0.94
abuse				negative		-0.16
abuse_neglect			negative		-0.95
abused_alcohol			positive		0.931
abusing_alcohol			positive		0.931
abusive				negative		-0.84
abusive_behavior		negative		-0.69
abusive_boyfriend		positive		0.675
abusive_conduct			negative		-0.84
abusive_father			negative		-0.88
abusive_husband			negative		-0.88
abusive_parent			negative		-0.69
abusive_stepfather		negative		-0.88
abusive_treatment		negative		-0.79
abusively			negative		-0.41
abut				positive		0.798
abuzz				negative		-0.77
abysmal				positive		0.846
abysmally			negative		-0.43
abyss				negative		-0.84
abyssal_plain			negative		-0.04
abyssinicum			negative		-0.65
ac_adapter			positive		0.067
ac_adaptor			positive		0.067
ac_chart			positive		0.103
ac_impedance			positive		0.802
ac_power			positive		0.063
ac_traction			positive		0.586
academe				positive		0.919
academese			negative		-0.93
academia			positive		0.923
academic			negative		-0.79
academic_achievement		positive		0.106
academic_administrator		positive		0.888
academic_adviser		negative		-0.02
academic_advisor		negative		-0.02
academic_discipline		positive		0.077
academic_excellence		positive		0.082
academic_integrity		positive		0.817
academic_merit			positive		0.366
academic_registrar		positive		0.084
academic_requirement		positive		0.898
academic_science		positive		0.806
academical			negative		-0.72
academically			positive		0.853
academician			negative		-0.79
academicism			positive		0.645
academicyear_month		positive		0.698
academy				positive		0.782
academy_nda			negative		-0.86
acalculia			negative		-0.88
acantha				negative		-0.78
acanthamoeba			positive		0.032
acanthotic			negative		-0.85
acaricide			negative		-0.31
acarophobia			negative		-0.77
acarpous			negative		-0.78
acb_slam_dunk			positive		0.834
accede				positive		0.933
accelerant			positive		0.881
accelerate			positive		0.752
accelerated_depreciation	negative		-0.77
accelerated_erosion		negative		-0.77
acceleration			negative		-0.86
accelerator			positive		0.767
accelerometer			positive		0.871
accent				positive		0.737
accent_lighting			negative		-0.68
accented_english		negative		-0.95
accented_letter			positive		0.054
accentuate			negative		-0.82
accentuation			negative		-0.16
accepit				negative		-0.81
accept				positive		0.933
accept_challenge		positive		0.887
accept_responsibility		positive		0.912
acceptability			negative		-0.85
acceptable			positive		0.853
acceptable_excuse		positive		0.722
acceptableness			positive		0.844
acceptance			positive		0.33
acceptation			positive		0.621
accepted			positive		0.594
accepting_change		positive		0.893
accepts_responsibility		positive		0.912
access				positive		0.764
access_computer			positive		0.849
access_csma			positive		0.066
access_internet			positive		0.776
access_offa			positive		0.73
access_quickly			positive		0.757
accessary			positive		0.788
accessed_through		positive		0.764
accessforall			positive		0.08
accessibility			positive		0.959
accessibility_template_vpat	positive		0.023
accessible			positive		0.761
accessible_toilet		positive		0.763
accessible_via			positive		0.764
accessible_via_telnet		positive		0.797
accessing_inappropriate		positive		0.08
accessorial			negative		-0.81
accessorise			negative		-0.75
accessorize_outfit		positive		0.093
accessory			positive		0.073
accessory_shoe			negative		-0.84
accident			negative		-0.11
accident-prone			negative		-0.82
accident_game			negative		-0.93
accident_happen			negative		-0.89
accident_prevention		positive		0.11
accidental			negative		-0.81
accidental_contamination	negative		-0.72
accidental_damage		negative		-0.66
accidental_death		negative		-0.91
accidental_deletion		positive		0.728
accidental_detonation		negative		-0.85
accidental_discovery		positive		0.658
accidental_explosion		negative		-0.04
accidental_ignition		negative		-0.85
accidental_injury		negative		-0.69
accidental_pregnancy		positive		0.882
accidentally			negative		-0.86
accidentally_delete		negative		-0.03
accidie				positive		0.196
accipiter			negative		-0.82
acclaim				positive		0.887
acclaimed			positive		0.91
acclaimed_documentary		positive		0.762
acclamation			positive		0.807
acclimate			negative		-0.78
acclimatise			negative		-0.78
acclimatised			negative		-0.78
acclimatization			negative		-0.78
acclimatize			negative		-0.78
acclimatizing			negative		-0.78
accolade			positive		0.115
accommodate			positive		0.768
accommodation			positive		0.107
accommodative			negative		-0.90
accomodate			positive		0.022
accomodation			positive		0.059
accompanying_diagram		positive		0.067
accompanying_spouse		positive		0.839
accomplice			negative		-0.95
accomplish			positive		0.849
accomplish_goal			positive		0.161
accomplish_mission		positive		0.29
accomplish_task			positive		0.3
accomplished			positive		0.814
accomplished_athlete		positive		0.97
accomplished_dancer		negative		-0.86
accomplishment			positive		0.114
accord				positive		0.824
accord_sur			positive		0.753
accordance			positive		0.854
accordance_with			positive		0.089
accordant			positive		0.64
accordantly			positive		0.806
according			positive		0.64
accordingly			positive		0.132
accordion_style			positive		0.063
accost				positive		0.66
account				positive		0.157
account_book			positive		0.048
account_department		positive		0.054
account_holder			positive		0.122
account_indebtedness		negative		-0.80
account_payable			negative		-0.84
account_receivable		positive		0.119
accountability			positive		0.817
accountable			positive		0.879
accountant			positive		0.056
accountant_office		positive		0.054
accountedge			positive		0.04
accounting			positive		0.708
accounting_firm			positive		0.767
accounting_fraud		negative		-0.84
accounting_profession		positive		0.077
accouterment			positive		0.963
accoutrement			positive		0.846
accreditation			positive		0.071
accrete				negative		-0.84
accretion			positive		0.88
accretion_disc			negative		-0.75
accrue				positive		0.756
accrued_interest		negative		-0.80
acculturation			positive		0.929
accumulate			positive		0.087
accumulate_debt			negative		-0.04
accumulate_knowledge		positive		0.811
accumulate_stress		negative		-0.65
accumulate_stress_city		negative		-0.85
accumulate_wealth		negative		-0.81
accumulated_depreciation	negative		-0.77
accumulated_wealth		positive		0.893
accumulating_wealth		positive		0.798
accumulation			positive		0.754
accumulator			positive		0.047
accuracy			positive		0.033
accurate			positive		0.033
accurate_calibration		negative		-0.88
accurate_description		positive		0.167
accurate_estimate		positive		0.178
accurate_estimation		positive		0.846
accurate_measurement		positive		0.726
accurately			positive		0.814
accurately_describe		positive		0.064
accurately_determine		positive		0.726
accurately_estimate		positive		0.178
accurately_gauge		positive		0.726
accurately_measure		positive		0.726
accurately_predict		negative		-0.79
accurse				negative		-0.78
accusation			negative		-0.77
accusative			negative		-0.75
accusatory			negative		-0.8
accuse				negative		-0.11
accuse_person			negative		-0.11
accused				negative		-0.87
accused_fort_hood		negative		-0.79
accused_rapist			positive		0.675
accuser				negative		-0.11
accusing			negative		-0.8
accusingly			negative		-0.32
accusive			negative		-0.8
accuweather			negative		-0.04
ace				positive		0.044
ace_hardware			positive		0.917
ace_inhibitor			negative		-0.67
acellular_pertussis_vaccine	negative		-0.10
acer_griseum			negative		-0.60
acer_negundo			negative		-0.60
acer_palmatum			negative		-0.60
acer_rubrum			positive		0.648
acer_saccharum			negative		-0.68
acerb				negative		-0.92
acerbate			negative		-0.72
acerbic				negative		-0.78
acerbic_wit			negative		-0.62
acerbity			negative		-0.82
acetabular			positive		0.653
acetabular_component		negative		-0.09
acetabular_cup			negative		-0.09
acetabulum			positive		0.653
acetaminophen			negative		-0.76
acetaminophen_tylenol		negative		-0.73
acetate				negative		-0.03
acetazolamide			negative		-0.67
acetic_acid			positive		0.052
acetic_anhydride		negative		-0.78
acetify				negative		-0.58
acetone				positive		0.816
acetyl_chloride			negative		-0.78
acetylacetone			negative		-0.85
acetylcholine_ach		positive		0.783
acetylcholine_release		positive		0.644
acf				positive		0.065
ach_credit			positive		0.068
ach_debit			positive		0.068
ach_tha				positive		0.875
achaar				negative		-0.66
achalasia			negative		-0.70
achamoth			positive		0.823
ache				negative		-0.74
achene				positive		0.082
achievability			negative		-0.82
achievable			positive		0.101
achieve				positive		0.907
achieve_goal			positive		0.115
achieve_immortality		positive		0.816
achieve_orgasm			positive		0.709
achieve_parity			negative		-0.68
achieve_regulatory_compliance	positive		0.798
achieved			positive		0.864
achievement			positive		0.187
achievement_motivation		positive		0.904
achiever			positive		0.735
achievment			positive		0.941
achillea			positive		0.831
achillea_millefolium		positive		0.779
achilles_injury			negative		-0.71
achilles_problem		positive		0.781
achilles_tendon			positive		0.781
aching				negative		-0.74
aching_feet			positive		0.712
aching_head			negative		-0.89
aching_heart			negative		-0.24
aching_void			negative		-0.81
achingly			negative		-0.8
achingly_beautiful		negative		-0.23
achish				positive		0.89
achlorhydria			negative		-0.56
achondrogenesis_type		positive		0.747
achondroplasia			negative		-0.81
achromasia			negative		-0.65
achromat			positive		0.042
achromatic			negative		-0.61
achromatic_color		negative		-0.74
achromatopsia			negative		-0.81
achy				positive		0.772
aci_worldwide			negative		-0.67
acicular			negative		-0.91
acid				negative		-0.03
acid-forming			negative		-0.78
acid-producing			negative		-0.78
acid_bath			negative		-0.03
acid_battery_pack		negative		-1.0
acid_grassland			negative		-0.74
acid_indigestion		negative		-0.73
acid_reflux			negative		-0.73
acid_reflux_disease		negative		-0.73
acid_regurgitation		negative		-0.73
acidic				negative		-0.03
acidic_proton			positive		0.667
acidic_solution			negative		-0.78
acidification			negative		-0.84
acidify				negative		-0.58
acidity				negative		-0.82
acidly				negative		-0.32
acidophil			positive		0.805
acidophile			positive		0.805
acidophilus			negative		-0.98
acidophilus_bacterium		negative		-0.98
acidophilus_flora		negative		-0.98
acidophilus_microflora		negative		-0.98
acidulate			negative		-0.58
acidulousness			negative		-0.84
aciduria			negative		-0.79
acinonyx			positive		0.054
aciphex				negative		-0.73
ack_message			positive		0.947
acknowledge			positive		0.057
acknowledge_receipt		positive		0.785
acknowledgeable			positive		0.947
acknowledged			negative		-0.69
acknowledgement			positive		0.972
acknowledges_receipt		positive		0.113
acknowledgeth			positive		0.64
acknowledging_receipt		positive		0.785
acknowledgment			positive		0.934
acknowledgment_letter		positive		0.785
acleistoceratidae		negative		-0.73
aclu				positive		0.64
acm_digital			positive		0.774
acml				negative		-0.8
acne				negative		-0.96
acne_medication			negative		-0.90
acned				negative		-0.83
acolyte				negative		-0.72
aconite				negative		-0.53
acorn_squash			positive		0.357
acorn_winter_squash		negative		-0.74
acoustic			positive		0.911
acoustic_aphasia		negative		-0.88
acoustic_noise			negative		-0.72
acoustic_power			positive		0.684
acoustic_signal			negative		-0.80
acoustic_trio			positive		0.813
acoustic_version		positive		0.844
acoustical			negative		-0.91
acp_cartridge			positive		0.917
acquaint			positive		0.664
acquaint_student_with		positive		0.948
acquaintance			positive		0.648
acquaintance_rape		negative		-0.77
acquaintanceship		positive		0.328
acquainted_with			positive		0.022
acquiesce			negative		-0.73
acquiescence			negative		-0.74
acquiescent			negative		-0.41
acquire				positive		0.071
acquire_goods			positive		0.088
acquire_information		positive		0.194
acquire_knowledge		positive		0.738
acquire_wealth			positive		0.823
acquired_taste			positive		0.752
acquirement			positive		0.729
acquisition			positive		0.698
acquisitive			negative		-0.75
acquisitive_growth		positive		0.051
acquisitiveness			negative		-0.75
acquit				positive		0.857
acquittal			positive		0.788
acquitted			negative		-0.79
acral				negative		-0.78
acre				positive		0.055
acre_estate			positive		0.095
acre_farm			positive		0.094
acre_ha				positive		0.122
acreage				positive		0.122
acrid				negative		-0.91
acrid_smell			positive		0.082
acrid_taste			positive		0.049
acridity			negative		-0.74
acridness			negative		-0.74
acrimonious			negative		-0.82
acrimonious_debate		negative		-0.94
acrimoniously			negative		-0.82
acrimony			negative		-0.85
acrobat				positive		0.807
acrobatic			positive		0.783
acrobatic_dance			negative		-0.86
acrobatic_feat			negative		-0.64
acrobatic_stunt			negative		-0.66
acrobatically			negative		-0.74
acrolein			negative		-0.07
acromegalic			negative		-0.72
acromegaly			positive		0.805
acromion			positive		0.653
acronymic			negative		-0.77
acrophobia			negative		-0.87
acrosome_reaction		positive		0.087
across-the-board		positive		0.855
across_the_country		negative		-0.93
across_the_nation		negative		-0.93
acrost				negative		-0.86
acrostic			positive		0.943
acrylic				negative		-0.88
acrylic_acid			negative		-0.85
acrylic_paint			positive		0.996
act				positive		0.807
act_bored			positive		0.848
act_decisively			negative		-0.89
act_fcra			positive		0.73
act_foolish			negative		-0.88
act_impulsively			positive		0.08
act_out				negative		-0.11
act_part			positive		0.727
act_play			positive		0.895
act_quickly			positive		0.037
act_responsibly			positive		0.652
act_silly			positive		0.814
act_smart			positive		0.814
act_stupid			negative		-0.78
act_unilaterally		negative		-0.78
act_up				negative		-0.08
act_wisely			positive		0.29
actaea_racemosa			negative		-0.61
acted_fraudulently		positive		0.624
acted_negligently		negative		-0.72
acted_recklessly		negative		-0.72
acted_willfully			negative		-0.30
actin_filament			negative		-0.04
actin_filament_assembly		negative		-0.72
acting				positive		0.821
acting_air_commodore		positive		0.64
acting_career			positive		0.852
acting_deputy_director		positive		0.071
acting_ensign			positive		0.067
acting_general_counsel		positive		0.091
acting_illegally		negative		-0.75
acting_out			positive		0.772
acting_wing_commander		positive		0.64
actinic_dermatitis		negative		-0.82
actinidia_deliciosa		positive		0.806
actinoceratidae			negative		-0.80
actinomorphic			negative		-0.05
actinotherapy			positive		0.732
action				positive		0.82
action-planning			negative		-0.83
action_adventure		positive		0.032
action_at_law			positive		0.768
action_bronson			positive		0.778
action_conference_cpac		negative		-0.85
action_figure			positive		0.905
action_flick			negative		-0.33
action_fund			positive		0.768
action_lawsuit			negative		-0.85
action_lawsuit_against		negative		-0.85
action_movie			positive		0.951
action_seeking_injunctive	positive		0.73
action_thriller			negative		-0.70
actionaid			negative		-0.72
actionaid_international		negative		-0.72
actioner			negative		-0.70
activate			positive		0.912
activated			negative		-0.70
activated_carbon_filter		negative		-0.06
activating			positive		0.586
activating_mutation		negative		-0.86
activation			positive		0.825
activation_barrier		positive		0.684
activation_energy		positive		0.684
active				positive		0.065
active-duty			positive		0.843
active_conformation		negative		-0.72
active_engagement		negative		-0.76
active_ingredient		negative		-0.73
active_intellect		positive		0.935
active_involvement		negative		-0.78
active_lifestyle		negative		-0.03
active_participation		positive		0.082
active_participle		positive		0.693
active_role			negative		-0.78
actively			positive		0.947
actively_collaborate		positive		0.877
actively_encourage		positive		0.798
actively_engage			positive		0.798
actively_manage			positive		0.798
actively_monitor		positive		0.054
actively_participate		negative		-0.84
actively_promote		positive		0.798
actively_resist			negative		-0.78
activeness			positive		0.799
activewear			negative		-0.61
activism			negative		-0.87
activist			positive		0.865
activity			positive		0.09
activity_described		negative		-0.93
actor				positive		0.8
actor_chow_yun			negative		-0.97
actor_comedian			positive		0.8
actor_equity			positive		0.863
actorly				negative		-0.62
actress				positive		0.628
actress_singer			positive		0.891
actress_vivica			negative		-0.79
actual				positive		0.103
actual_eviction			negative		-0.82
actual_malice			negative		-0.58
actualist			positive		0.736
actuality			positive		0.208
actualization			positive		0.138
actualize			positive		0.606
actually			negative		-0.76
actuated			positive		0.867
actus_reus			negative		-0.65
acuity				positive		0.856
acumen				positive		0.804
acupuncture			negative		-0.05
acupuncture_oriental_medicine	negative		-0.05
acupuncturist			negative		-0.05
acutance			positive		0.911
acute				negative		-0.86
acute_accent			negative		-0.67
acute_anxiety			negative		-0.73
acute_asthma			negative		-0.81
acute_bacterial			positive		0.834
acute_care_nurse_practitioner	negative		-0.74
acute_chest_pain		negative		-0.20
acute_coronary_syndrome		negative		-0.20
acute_dehydration		negative		-0.75
acute_diarrhea			negative		-0.74
acute_diarrhoea			negative		-0.65
acute_exacerbation		negative		-0.81
acute_fever			negative		-0.96
acute_gastritis			negative		-0.89
acute_glossitis			negative		-0.76
acute_gvhd			negative		-0.69
acute_heart_failure		negative		-0.91
acute_infectious_disease	negative		-0.90
acute_inflammatory		negative		-0.79
acute_intermittent_porphyria	negative		-0.79
acute_kidney_failure		negative		-0.56
acute_leukemia			negative		-0.88
acute_lymphoblastic_leukemia	negative		-0.88
acute_lymphocytic_leukemia	negative		-0.88
acute_malnutrition		negative		-0.65
acute_myelogenous_leukemia	negative		-0.88
acute_myeloid_leukaemia		negative		-0.88
acute_myeloid_leukemia		negative		-0.88
acute_onset			negative		-0.72
acute_otitis_media		negative		-0.81
acute_phase			negative		-0.69
acute_pneumonia			negative		-0.15
acute_porphyria			negative		-0.79
acute_pulmonary			negative		-0.89
acute_rehabilitation		positive		0.715
acute_renal_failure		negative		-0.56
acute_respiratory		negative		-0.81
acute_respiratory_syndrome	negative		-0.81
acute_rheumatic_fever		negative		-0.71
acute_shortage			negative		-0.83
acute_trauma			negative		-0.84
acute_triangle			positive		0.717
acute_urinary_retention		negative		-0.74
acute_viral_disease		negative		-0.71
acutely				negative		-0.77
acutely_toxic			negative		-0.16
acvp				positive		0.076
acyclovir_resistant		negative		-0.41
acyl_coa			negative		-0.65
acyltransferase			negative		-0.65
ad				negative		-0.81
ad_blocker			negative		-0.08
ad_campaign			positive		0.903
ad_exec				negative		-0.65
ad_hd				negative		-0.77
ad_hoc				positive		0.094
ad_hominem			positive		0.734
ad_hominem_argument		positive		0.734
ad_hominem_attack		negative		-0.69
ad_nauseam			positive		0.059
ad_revenue			positive		0.826
ad_valorem			positive		0.077
ad_valorem_tax			positive		0.885
adage				positive		0.059
adagio				positive		0.598
adamance			negative		-0.83
adamance_of_purpose		negative		-0.83
adamant				negative		-0.69
adamantine			positive		0.901
adamantium			positive		0.901
adamantly			negative		-0.69
adamic_language			positive		0.75
adaminaby			negative		-0.71
adapt				positive		0.054
adaptability			positive		0.852
adaptable			positive		0.054
adaptation			positive		0.923
adapted				positive		0.838
adapter				positive		0.88
adaption			positive		0.918
adaptive			positive		0.841
adaptive_optics_system		positive		0.039
adaptively			positive		0.837
adaptiveness			positive		0.836
adaptor				positive		0.877
adaxial_surface			negative		-0.69
adblock				negative		-0.08
add				positive		0.095
add-on				negative		-0.92
add_adhd			positive		0.745
add_broth			negative		-0.77
add_flavor			positive		0.054
add_garlic			negative		-0.77
add_knowledge			positive		0.757
add_number			positive		0.951
add_number_together		positive		0.13
add_on				positive		0.766
add_onion			negative		-0.77
add_spice			negative		-0.03
add_sugar			positive		0.357
add_two_numbers			positive		0.068
add_two_numbers_together	positive		0.932
add_up_column_number		positive		0.039
add_up_number			positive		0.054
added_value			positive		0.106
addendum			positive		0.091
adder				negative		-0.85
adder_tongue			negative		-0.79
addict				negative		-0.35
addicted			negative		-0.24
addicted_computer_game		negative		-0.71
addicting			negative		-0.93
addiction			negative		-0.85
addiction_treatment		positive		0.715
addictive			negative		-0.78
addictive_drug			negative		-0.77
addictive_nature		negative		-0.77
addictive_painkiller		positive		0.112
addictive_substance		negative		-0.77
addition			positive		0.086
additional			positive		0.208
additionally			positive		0.121
additive			negative		-0.92
additive_color			positive		0.044
additivity			negative		-0.80
addle				negative		-0.64
addlehead			negative		-0.77
addleshaw_goddard		positive		0.767
addling				positive		0.848
address				positive		0.068
address_book			positive		0.068
address_label			positive		0.054
addressee			negative		-0.72
adduce				positive		0.842
adducing_evidence		negative		-0.88
adductor			positive		0.781
adefovir			negative		-0.84
adelgid				negative		-0.71
adelic				positive		0.797
adelphi_theatre			negative		-0.62
adem_altan_afp_getty		negative		-0.79
adenoma				negative		-0.63
adenopathy			negative		-0.78
adenosine			positive		0.943
adenosis			negative		-0.58
adenoviral_mediated_gene	positive		0.074
adenozine			positive		0.943
adept				positive		0.794
adept_at			positive		0.083
adeptly				positive		0.855
adeptness			positive		0.731
adequacy			negative		-0.94
adequate			positive		0.784
adequate_assurance		positive		0.222
adequate_documentation		positive		0.844
adequate_explanation		positive		0.084
adequate_liquidity		positive		0.137
adequate_moisture		negative		-0.05
adequate_pain_relief		negative		-0.07
adequate_remedy			positive		0.939
